রপ্তানি	﻿রপ্তানি
কল্পনা	কল্পনা
করা	করা
যায়	যায়
না	না

এরপর	এরপর
সে	সে
আধঘণ্টা	আধঘণ্টা
লেখাপড়া	লেখাপড়া
করে	করে
ইলেকট্রিক	ইলেকট্রিক
টাইপ	টাইপ
রাইটারে	রাইটারে
বসে	বসে

অর্থাত্্	অর্থাত্্
আমার	আমার
ইঙ্গিতের	ইঙ্গিতের
অপেক্ষায়	অপেক্ষায়

আমরা	আমরা
চ্যাম্পিয়ন	চ্যাম্পিয়ন
না	না
হই	হই
পাকিস্তানও	পাকিস্তানও
তো	তো
হয়নি	হয়নি
উপায়ান্তর	উপায়ান্তর
না	না
দেখে	দেখে
এইটুকুই	এইটুকুই
যা	যা
সান্ত্বনা	সান্ত্বনা
ছিল	ছিল
ভারতের	ভারতের

দেখে	দেখে
ভাবী	ভাবী
খিলখিল	খিলখিল
করে	করে
হেসে	হেসে
উঠলেন	উঠলেন

কল্যাণ	কল্যাণ
দাশগুপ্ত	দাশগুপ্ত

কল্যাণ	কল্যাণ
গিয়েছিল	গিয়েছিল
নদীর	নদীর
ধারে	ধারে
বেড়াতে	বেড়াতে

ব্রত	ব্রত
পালনে	পালনে
ঐহিক	ঐহিক
কামনা	কামনা
বাসনাই	বাসনাই
যে	যে
মুখ্য	মুখ্য
পারত্রিক	পারত্রিক
কল্যাণের	কল্যাণের
কামনাটা	কামনাটা
গৌণ	গৌণ
তার	তার
উত্স	উত্স
উত্কৃষ্ট	উত্কৃষ্ট
নির্দশন	নির্দশন
স্বরূপ	স্বরূপ
লেখিকা	লেখিকা
হরির	হরির
চরণের	চরণের
ছড়াটি	ছড়াটি
উদ্ধার	উদ্ধার
করে	করে
দিয়েছেন	দিয়েছেন

তারপর	তারপর
আমি	আমি
বইটই	বইটই
পড়তে	পড়তে
লাগলাম	লাগলাম

লাঞ্চ	লাঞ্চ
খাবো	খাবো
প্রতাপগড়ে	প্রতাপগড়ে
সাড়ে	সাড়ে
বারোটার	বারোটার
সময়	সময়

অন্যদিকে	অন্যদিকে
জিনিসপত্রের	জিনিসপত্রের
ক্রমবর্ধমান	ক্রমবর্ধমান
দামের	দামের
সঙ্গে	সঙ্গে
সঙ্গতি	সঙ্গতি
রেখে	রেখে
কাজ	কাজ
করতে	করতে
গিয়ে	গিয়ে
স্টেডিয়ামের	স্টেডিয়ামের
নির্মাণ	নির্মাণ
খরচও	খরচও
বারে	বারে
বারে	বারে
বৃদ্ধি	বৃদ্ধি
পায়	পায়

ধ্বস্তাধ্বস্তি	ধ্বস্তাধ্বস্তি
হল	হল
সামান্যই	সামান্যই

পৃথিবীতে	পৃথিবীতে
এত	এত
হাওয়া	হাওয়া
এত	এত
মুক্তি	মুক্তি
এত	এত
আলো	আলো
এত	এত
সচলতা	সচলতা
আর	আর
তার	তার
জীবনে	জীবনে
সংকীর্ণ	সংকীর্ণ
নিশ্চল	নিশ্চল
এক	এক
অবরোধ	অবরোধ

আমাদের	আমাদের
বাড়ির	বাড়ির
কাছেই	কাছেই
থাকতেন	থাকতেন
তুলসী	তুলসী
বন্দ্যোপাধ্যায়	বন্দ্যোপাধ্যায়

বিষেণ	বিষেণ
সিং	সিং
বেদী	বেদী
আর	আর
সুনীল	সুনীল
গাভাসকার	গাভাসকার
ঐ	ঐ
রকমভাবে	রকমভাবে
আমার	আমার
সম্বন্ধে	সম্বন্ধে
খোঁজখবর	খোঁজখবর
না	না
নিয়ে	নিয়ে
লিখলে	লিখলে
বোধহয়	বোধহয়
ভালোই	ভালোই
করতেন	করতেন

বরুণ	বরুণ
কুমার	কুমার
চক্রবর্ত্তী	চক্রবর্ত্তী

বৈচিত্র্যময়	বৈচিত্র্যময়
এই	এই
সকল	সকল
বস্তুর	বস্তুর
সৃষ্টি	সৃষ্টি
কি	কি
করিয়া	করিয়া
হইল	হইল
ইহাদের	ইহাদের
গঠনপ্রণালী	গঠনপ্রণালী
আচরণ	আচরণ
বা	বা
উপযোগিতা	উপযোগিতা
কিরূপ	কিরূপ
এই	এই
সকল	সকল
বিষয়ে	বিষয়ে
কৌতুহল	কৌতুহল
উদ্রেক	উদ্রেক
হওয়া	হওয়া
খুবই	খুবই
স্বাভাবিক	স্বাভাবিক

এত	এত
বৃষ্টিপাত	বৃষ্টিপাত
পশ্চিমবঙ্গের	পশ্চিমবঙ্গের
আর	আর
কোথাও	কোথাও
হয়	হয়
না	না

ইহারা	ইহারা
রাজকোষ	রাজকোষ
হইতে	হইতে
ভরণপোষণ	ভরণপোষণ
পাইত	পাইত

সব	সব
কিছুতে	কিছুতে
আপনি	আপনি
পাবেন	পাবেন
বিশেষ	বিশেষ
ট্রিমারের	ট্রিমারের
ব্যবস্থা	ব্যবস্থা
যার	যার
ফলে	ফলে
যথাযথ	যথাযথ
ঘোরালে	ঘোরালে
ঠিকমত	ঠিকমত
সবচেয়ে	সবচেয়ে
কম	কম
আলো	আলো
জ্বলে	জ্বলে

এই	এই
প্রেশক্রিপশানে	প্রেশক্রিপশানে
বাজারে	বাজারে
প্রচলিত	প্রচলিত
পেটেণ্ট	পেটেণ্ট
ঔষধের	ঔষধের
নাম	নাম
থাকতে	থাকতে
পারে	পারে
কিংবা	কিংবা
কতগুলি	কতগুলি
ঔষধ	ঔষধ
একসঙ্গে	একসঙ্গে
মিশিয়ে	মিশিয়ে
তরল	তরল
মিকশ্চার	মিকশ্চার
আকারে	আকারে
বা	বা
পাউডার	পাউডার
হিসাবে	হিসাবে
খাওয়ার	খাওয়ার
জন্য	জন্য
বা	বা
অন্যভাবে	অন্যভাবে
ব্যবহারের	ব্যবহারের
জন্য	জন্য
নির্দেশ	নির্দেশ
দেওয়া	দেওয়া
থাকে	থাকে

তাঁর	তাঁর
বক্তব্য	বক্তব্য
হল	হল
সালের	সালের
শে	শে
অক্টোবর	অক্টোবর
আমার	আমার
নৌবিস্তার	নৌবিস্তার
বাড়িতে	বাড়িতে
বাবা	বাবা
গিয়ে	গিয়ে
খবর	খবর
দিলেন	দিলেন
যে	যে
মায়ের	মায়ের
অবস্থা	অবস্থা
খারাপ	খারাপ

ঈশ্বরের	ঈশ্বরের
সন্তান	সন্তান
হবার	হবার
জন্যই	জন্যই
আপনি	আপনি
এই	এই
পৃথিবীতে	পৃথিবীতে
জন্মগ্রহণ	জন্মগ্রহণ
করেছেন	করেছেন
আপনি	আপনি
জানতে	জানতে
পেরেছেন	পেরেছেন
যে	যে
আপনার	আপনার
জন্ম	জন্ম
হয়েছে	হয়েছে
যেন	যেন
আপনি	আপনি
ঈশ্বরের	ঈশ্বরের
প্রীতির	প্রীতির
পাত্র	পাত্র
ও	ও
তাঁর	তাঁর
সন্তান	সন্তান
হন	হন
এবং	এবং
তাঁর	তাঁর
প্রেম	প্রেম
উপভোগ	উপভোগ
করতে	করতে
পারেন	পারেন
ও	ও
পরিবর্ত্তে	পরিবর্ত্তে
তাঁকে	তাঁকে
প্রেম	প্রেম
দান	দান
করেন	করেন

আহত	আহত
বা	বা
অসুস্থ	অসুস্থ
হলে	হলে
এমন	এমন
করে	করে
খেতে	খেতে
পারতো	পারতো
না	না

কিন্ত	কিন্ত
অর্ধেকের	অর্ধেকের
বেশি	বেশি
জেলা	জেলা
কমিটি	কমিটি
সময়মত	সময়মত
কোটা	কোটা
পূরণ	পূরণ
করে	করে
না	না

লোকেরা	লোকেরা
হাসতে	হাসতে
হাসতে	হাসতে
জানালো	জানালো
ওটা	ওটা
পচা	পচা
ডাল	ডাল
নয়	নয়
ওটা	ওটা
অজগর	অজগর
সাপ	সাপ

গ্রীক	গ্রীক
শব্দ	শব্দ
য়্যাস্ট্রন	য়্যাস্ট্রন
অর্থাত্	অর্থাত্
তারা	তারা
এবং	এবং
নমোস	নমোস
অর্থাত্	অর্থাত্
নিয়ম	নিয়ম
থেকে	থেকে
য়্যাস্ট্রনমি	য়্যাস্ট্রনমি
কথাটার	কথাটার
উদ্ভব	উদ্ভব

তারপর	তারপর
আমি	আমি
কি	কি
করতে	করতে
চাই	চাই
তা	তা
ওদের	ওদের
বুঝিয়ে	বুঝিয়ে
বললাম	বললাম

তাতুনকে	তাতুনকে
বলল	বলল
আবার	আবার
দেখা	দেখা
হবে	হবে

আহসান	আহসান
বললেন	বললেন
বান্ধবী	বান্ধবী
নয়	নয়
বন্ধুকে	বন্ধুকে
সঙ্গে	সঙ্গে
আনবো	আনবো
ভেবেছিলাম	ভেবেছিলাম

সরকারি	সরকারি
পরিচালনাধীন	পরিচালনাধীন
সংস্থা	সংস্থা
দফতর	দফতর
তাঁদের	তাঁদের
অভিযোগ	অভিযোগ
এবং	এবং
বক্তব্য	বক্তব্য
শুনেছেন	শুনেছেন
প্রতিকারের	প্রতিকারের
জন্য	জন্য
অর্থ	অর্থ
দফতর	দফতর
সেই	সেই
নোট	নোট
ফেরত্্	ফেরত্্
পাঠায়নি	পাঠায়নি
বরং	বরং
বৈষম্য	বৈষম্য
দূর	দূর
করার	করার
আশ্বাস	আশ্বাস
দিয়েছেন	দিয়েছেন

মানা	মানা
শিখর	শিখর
আরোহণ	আরোহণ
হয়নি	হয়নি
খারাপ	খারাপ
আবহাওয়ার	আবহাওয়ার
জন্যে	জন্যে

এ	এ
সমস্তই	সমস্তই
কি	কি
বিপরীত	বিপরীত
রাজযোগের	রাজযোগের
ফল	ফল

বেরিয়ে	বেরিয়ে
যাও	যাও
বেরিয়ে	বেরিয়ে
যাও	যাও
আমার	আমার
বাড়ি	বাড়ি
থেকে	থেকে
বেরিয়ে	বেরিয়ে
যাও	যাও

আমাদের	আমাদের
সকলের	সকলের
হাতে	হাতে
ধরিয়ে	ধরিয়ে
দেওয়া	দেওয়া
হল	হল
ছোট	ছোট
ছোট	ছোট
সাদা	সাদা
পাথরের	পাথরের
বাটি	বাটি
চন্দনের	চন্দনের
বাটির	বাটির
মত	মত
দেখতে	দেখতে

ঈশ্বর	ঈশ্বর
নির্ণয়	নির্ণয়

রূপ	রূপ
চর্চা	চর্চা
আর	আর
সাজগোজ	সাজগোজ
নিয়ে	নিয়ে

তিনি	তিনি
যোগোদ্যানে	যোগোদ্যানে
যাবেন	যাবেন

যে	যে
ভবিষ্যতে	ভবিষ্যতে
কৃষ্ণেরই	কৃষ্ণেরই
অবতার	অবতার
হবে	হবে
তার	তার
সঙ্গে	সঙ্গে
কৃষ্ণের	কৃষ্ণের
চরিত্রের	চরিত্রের
এত	এত
বৈপরীত্যই	বৈপরীত্যই
বা	বা
থাকবে	থাকবে
কেন	কেন

এই	এই
স্বীকৃতিদান	স্বীকৃতিদান
কোন	কোন
বিশেষ	বিশেষ
উদ্দেশ্যের	উদ্দেশ্যের
এবং	এবং
নির্দিষ্ট	নির্দিষ্ট
সময়কালের	সময়কালের
জন্য	জন্য
সীমাবদ্ধ	সীমাবদ্ধ
থাকে	থাকে

সাতদিন	সাতদিন
ধরে	ধরে
এই	এই
মহোত্সব	মহোত্সব
চলে	চলে

কিন্তু	কিন্তু
কয়েক	কয়েক
সপ্তাহ	সপ্তাহ
আগে	আগে
হঠাত্্	হঠাত্্
এক	এক
তরুণ	তরুণ
আই	আই
এ	এ
এস	এস
অফিসার	অফিসার
খনি	খনি
অঞ্চল	অঞ্চল
পরিদর্শন	পরিদর্শন
করতে	করতে
যান	যান
ও	ও
ঝুপড়িতে	ঝুপড়িতে
থাকা	থাকা
মানুষগুলোর	মানুষগুলোর
হাড্ডিসার	হাড্ডিসার
ভীত	ভীত
চেহারাগুলো	চেহারাগুলো
দেখতে	দেখতে
পান	পান

কোন	কোন
কোন	কোন
মত্স	মত্স
যেমন	যেমন
রিবন	রিবন
মাছ	মাছ
বিভিন্ন	বিভিন্ন
প্রকার	প্রকার
চিংড়ী	চিংড়ী
প্রজনন	প্রজনন
ও	ও
খাদ্যের	খাদ্যের
জন্য	জন্য
এশ্চুয়ারীর	এশ্চুয়ারীর
ঈষত্	ঈষত্
লবনাক্ত	লবনাক্ত
জল	জল
পছন্দ	পছন্দ
করে	করে

আজ	আজ
তো	তো
মাংস-ফাংস	মাংস-ফাংস
নেই	নেই
সংক্ষেপে	সংক্ষেপে
কিছু	কিছু
একটা	একটা
করে	করে
দে-না	দে-না
বাবা	বাবা

তাহলে	তাহলে
শুধু	শুধু
আজ	আজ
রাতের	রাতের
সমস্যা	সমস্যা

ওদের	ওদের
কত	কত
হবে	হবে

তোমরা	তোমরা
জানো	জানো
এই	এই
ইণ্টার	ইণ্টার
ন্যাশনাল	ন্যাশনাল
সেণ্টার	সেণ্টার
যাতে	যাতে
হাভানায়	হাভানায়
স্থাপিত	স্থাপিত
হয়	হয়
তার	তার
জন্যে	জন্যে
আমরাও	আমরাও
প্রস্তাব	প্রস্তাব
রেখেছিলাম	রেখেছিলাম
কিন্তু	কিন্তু
ভারত	ভারত
এটি	এটি
দিল্লীতে	দিল্লীতে
করতে	করতে
আগ্রহী	আগ্রহী
হওয়ায়	হওয়ায়
আমরা	আমরা
সে	সে
প্রস্তাব	প্রস্তাব
তুলে	তুলে
নিই	নিই

কারণ	কারণ
বিচিত্র	বিচিত্র
চেহারার	চেহারার
সাউণ্ড	সাউণ্ড
ট্য্রাকার	ট্য্রাকার
একটা	একটা
প্রাণীর	প্রাণীর
শরীরে	শরীরে
বিঁধে	বিঁধে
থাকা	থাকা
অবস্থায়	অবস্থায়
ওরা	ওরা
ঠিক	ঠিক
এগোতে	এগোতে
সাহস	সাহস
পাচ্ছিল	পাচ্ছিল
না	না

ছবির	ছবির
নিহিত	নিহিত
কাঠামোর	কাঠামোর
ওপর	ওপর
ফুটে	ফুটে
উঠেছে	উঠেছে
এরা	এরা
সব	সব

রস	রস

স্বল্প	স্বল্প
মেয়াদী	মেয়াদী
অধিক	অধিক
ফলনশীল	ফলনশীল
ধান	ধান
চাষের	চাষের
পর	পর
ঐ	ঐ
জমিতে	জমিতে
বিনা	বিনা
সেচে	সেচে
টোরী	টোরী
অথবা	অথবা
সেচের	সেচের
সাহায্যে	সাহায্যে
টোরী	টোরী
ও	ও
রাই	রাই
সরিষার	সরিষার
চাষ	চাষ
করতে	করতে
পারেন	পারেন

মূলতঃ	মূলতঃ
তকরারি	তকরারি
দাখিলা	দাখিলা
পদ্ধতি	পদ্ধতি
ও	ও
হিসাবরক্ষণ	হিসাবরক্ষণ
মৌলিক	মৌলিক
সমীকরণকে	সমীকরণকে
ভিত্তি	ভিত্তি
করিয়াই	করিয়াই
আধুনিক	আধুনিক
হিসাবশাস্ত্র	হিসাবশাস্ত্র
রচিত	রচিত
হইতেছে	হইতেছে

অর্থাত্	অর্থাত্
এবং	এবং
এই	এই
দুই	দুই
বছরের	বছরের
মধ্যে	মধ্যে
কৃষি-শিল্প	কৃষি-শিল্প
বিনিময়	বিনিময়
মূল্য	মূল্য
মোটের	মোটের
উপর	উপর
প্রায়	প্রায়
পঞ্চাশ	পঞ্চাশ
শতাংশ	শতাংশ
কৃষির	কৃষির
অনুকূলে	অনুকূলে
সরে	সরে
গেছে	গেছে

কতকগুলি	কতকগুলি
মন্দিরের	মন্দিরের
ভোগমণ্ডপ	ভোগমণ্ডপ
ও	ও
নাট্যমন্দির	নাট্যমন্দির
সমতল	সমতল
ছাত	ছাত
আকারে	আকারে
ঢালু	ঢালু
ছাত	ছাত
আকারে	আকারে
দেখতে	দেখতে
পাওয়া	পাওয়া
যায়	যায়

ইনস্পেক্টর	ইনস্পেক্টর
পট্টবর্ধন	পট্টবর্ধন
খুব	খুব
ভালো	ভালো
করে	করে
লক্ষ্য	লক্ষ্য
করে	করে
দেখলেন	দেখলেন
যে	যে
সব	সব
কাগজপত্রে	কাগজপত্রে
ইংরেজী	ইংরেজী

অক্ষরের	অক্ষরের
মাথায়	মাথায়
দুইটি	দুইটি
করে	করে
ছোট	ছোট
বিন্দু	বিন্দু
বা	বা
ডট	ডট
আছে	আছে

এই	এই
প্রতিষ্ঠানকে	প্রতিষ্ঠানকে
সকলের	সকলের
সাহায্য	সাহায্য
করা	করা
উচিত	উচিত

আরো	আরো
একদল	একদল
কুকুর	কুকুর
এলো	এলো

সে	সে
ঈর্ষা	ঈর্ষা
বোধ	বোধ
করল	করল

খ্রী	খ্রী
থেকেই	থেকেই
প্যারীবিশ্ববিদ্যালয়ের	প্যারীবিশ্ববিদ্যালয়ের
বিজ্ঞানবিভাগের	বিজ্ঞানবিভাগের
সঙ্গে	সঙ্গে
যুক্ত	যুক্ত
ছিলেন	ছিলেন

এ	এ
সময়ে	সময়ে
রাজকোষ	রাজকোষ
ও	ও
মন্ত্রীবর্গ	মন্ত্রীবর্গ
আমার	আমার
হাতে	হাতে

আমি	আমি
এখন	এখন
নিরুপায়	নিরুপায়

অভিনয়ের	অভিনয়ের
স্বাদ-ও	স্বাদ-ও
প্রথম	প্রথম
পাই	পাই
গুরুদেবের	গুরুদেবের
কাছেই	কাছেই

পরিচয়	পরিচয়
জানতে	জানতে
চাইলে	চাইলে
স্বচ্ছ	স্বচ্ছ
সপ্রতিভ	সপ্রতিভ
গলায়	গলায়
উত্তর	উত্তর
দিল	দিল
সে	সে

আর	আর
এই	এই
সুযোগ	সুযোগ
গ্রহণ	গ্রহণ
করতো	করতো
ইংরেজ	ইংরেজ
বণিকরা	বণিকরা

রাজ্য	রাজ্য
সরকার	সরকার
কৌঁসুলি	কৌঁসুলি
গভর্নমেণ্ট	গভর্নমেণ্ট
প্লিডার	প্লিডার
নবনারায়ণ	নবনারায়ণ
গুপ্ত	গুপ্ত
বলেন	বলেন
আদালতের	আদালতের
নির্দেশ	নির্দেশ
অনুযায়ী	অনুযায়ী
নামী	নামী
চারজন	চারজন
ডাক্তারকে	ডাক্তারকে
নিয়ে	নিয়ে
মেডিক্যাল	মেডিক্যাল
বোর্ড	বোর্ড
গঠন	গঠন
করা	করা
হয়েছে	হয়েছে

কত	কত
টাকা	টাকা
মাইনে	মাইনে

কিন্ত	কিন্ত
বারাকপুর	বারাকপুর
কোনও	কোনও
দিনই	দিনই
ঘুমন্তপুরী	ঘুমন্তপুরী
নয়	নয়

অতদূর	অতদূর
পর্য্যন্ত	পর্য্যন্ত
না	না
ভেবে	ভেবে
এখানকার	এখানকার
কথাতেই	কথাতেই
আসা	আসা
যাক	যাক

খুঁটিয়ে	খুঁটিয়ে
দেখবেন	দেখবেন
প্রচণ্ড	প্রচণ্ড
শক্তিশালী	শক্তিশালী
রকেটের	রকেটের
যথাযথ	যথাযথ
যোগ্যতা	যোগ্যতা

গান্ধীজী	গান্ধীজী
না	না
হয়	হয়
পাপকে	পাপকে
ঘৃণা	ঘৃণা
করেন	করেন
পাপীকে	পাপীকে
নয়	নয়
কিন্তু	কিন্তু
তার	তার
নেতৃত্বাধীন	নেতৃত্বাধীন
জনগণ	জনগণ
কি	কি
অত	অত
সুক্ষ্ম	সুক্ষ্ম
বিচার	বিচার
করতে	করতে
পারে	পারে

কথাটা	কথাটা
কিন্তু	কিন্তু
সত্যিও	সত্যিও

সেদিনটা	সেদিনটা
উনি	উনি
সায়গনে	সায়গনে
কাটিয়েছিলেন	কাটিয়েছিলেন
বিশেষ	বিশেষ
ব্যস্ততার	ব্যস্ততার
মধ্যে	মধ্যে
আর	আর
সেদিন	সেদিন
বিকেলেই	বিকেলেই
সায়গন	সায়গন
থেকে	থেকে
কর্নেল	কর্নেল
হবিবুর	হবিবুর
রহমানকে	রহমানকে
সঙ্গী	সঙ্গী
করে	করে
বিমানে	বিমানে
পাড়ি	পাড়ি
দিলেন	দিলেন

কিছূদূর	কিছূদূর
যাওয়ার	যাওয়ার
পর	পর
উচ্চস্বরে	উচ্চস্বরে
গাছের	গাছের
ওপর	ওপর
থেকে	থেকে
গান	গান
শোনা	শোনা
গেল	গেল
কেউ-না-কেউ	কেউ-না-কেউ
এদিকে	এদিকে
আসবেই	আসবেই
তাকে	তাকে
বাধা	বাধা
দিয়ে	দিয়ে
বলতেই	বলতেই
হবে	হবে
যেতে	যেতে
নাহি	নাহি
দিব	দিব

যেমন	যেমন
এ	এ
রাজ্যে	রাজ্যে
সন্ধে	সন্ধে
বেলায়	বেলায়
ঘণ্টা	ঘণ্টা
বড়	বড়
শিল্পে	শিল্পে
বিদ্যুত্	বিদ্যুত্
ব্যবহার	ব্যবহার
নিষিদ্ধ	নিষিদ্ধ
করে	করে
সর্বোচ্চ	সর্বোচ্চ
চাহিদা	চাহিদা
কৃত্রিমভাবে	কৃত্রিমভাবে
কমিয়ে	কমিয়ে
রাখা	রাখা
হয়	হয়

তথাকথিত	তথাকথিত
সাহেব	সাহেব
হওয়ার	হওয়ার
লোভকে	লোভকে
জয়	জয়
করে	করে
ফিরে	ফিরে
এলেন	এলেন
দেশে	দেশে

সূর্য	সূর্য
থেকে	থেকে
নেপচুনের	নেপচুনের
দুটি	দুটি
উপগ্রহ	উপগ্রহ

কারণ	কারণ
ললিতা	ললিতা
এখন	এখন
আরও	আরও
নিস্পৃহ	নিস্পৃহ
আরও	আরও
নিষ্ঠুর	নিষ্ঠুর

বিয়েটাকে	বিয়েটাকে
জিজ্ঞাসার	জিজ্ঞাসার
হেফাজতে	হেফাজতে
রেখে	রেখে
অনেকেই	অনেকেই
এখন	এখন
মাতৃরূপে	মাতৃরূপে
প্রতিষ্ঠিতা	প্রতিষ্ঠিতা

স্থানীয়	স্থানীয়
মানুষ	মানুষ
নাম	নাম
দিয়েছে	দিয়েছে
ন্গাগি	ন্গাগি

সবারই	সবারই
প্রিয়	প্রিয়

এটা	এটা
সার্জিক্যাল	সার্জিক্যাল
ব্যাপার	ব্যাপার

ভাড়া	ভাড়া
বাকী	বাকী
পড়ায়	পড়ায়
প্রায়ই	প্রায়ই
উঠে	উঠে
যেতে	যেতে
বলে	বলে

জলসেচন	জলসেচন
উত্তম	উত্তম
ফলন	ফলন
পাইতে	পাইতে
হইলে	হইলে
কলা	কলা
বাগানে	বাগানে
বর্ষাকাল	বর্ষাকাল
ছাড়া	ছাড়া
বত্সরের	বত্সরের
অন্যান্য	অন্যান্য
সময়	সময়
সেচ	সেচ
প্রয়োগ	প্রয়োগ
নিয়মিত	নিয়মিত
করিতে	করিতে
হইবে	হইবে

বলা	বলা
বাহুল্য	বাহুল্য
এই	এই
শিক্ষা	শিক্ষা
ব্যবস্থা	ব্যবস্থা
যে	যে
রকম	রকম
স্বতস্ফূর্ত	স্বতস্ফূর্ত
সহজ	সহজ
ও	ও
সর্বব্যাপী	সর্বব্যাপী
ছিল	ছিল
তাতে	তাতে
উপযুক্ত	উপযুক্ত
পৃষ্ঠপোষকতা	পৃষ্ঠপোষকতা
ও	ও
সহানুভূতি	সহানুভূতি
পেলে	পেলে
এই	এই
অনাড়ম্বর	অনাড়ম্বর
আপাত-সামান্য	আপাত-সামান্য
শিক্ষা-ব্যবস্থা	শিক্ষা-ব্যবস্থা
গ্রাম-প্রধান	গ্রাম-প্রধান
বিশাল	বিশাল
ভারতবর্ষের	ভারতবর্ষের
বিশেষ	বিশেষ
করে	করে
দারিদ্র	দারিদ্র
পীড়িত	পীড়িত
গ্রামাঞ্চলের	গ্রামাঞ্চলের
শিক্ষার	শিক্ষার
অভাব	অভাব
পুরণ	পুরণ
করতে	করতে
পারত	পারত
এবং	এবং
কালক্রমে	কালক্রমে
একটি	একটি
সর্বজনীন	সর্বজনীন
জাতীয়	জাতীয়
শিক্ষা-ব্যবস্থায়	শিক্ষা-ব্যবস্থায়
পরিণত	পরিণত
হতে	হতে
পারত	পারত

খনিজ	খনিজ
ভূমিজাতদ্রব্য	ভূমিজাতদ্রব্য
এজেন্সি	এজেন্সি
ও	ও
পুস্তক	পুস্তক
ব্যবসায়ে	ব্যবসায়ে
লাভবান	লাভবান
হবার	হবার
যোগ	যোগ
আছে	আছে

আমি	আমি
তো	তো
আজকের	আজকের
তারকা	তারকা
নই	নই

দুজনায়	দুজনায়
পাশাপশি	পাশাপশি
দাঁড়িয়ে	দাঁড়িয়ে
লেখার	লেখার
মালমশলা	মালমশলা
নিয়ে	নিয়ে
তারা	তারা
কিছু	কিছু
আলোচনাও	আলোচনাও
করছিল	করছিল
অন্য	অন্য
সবাই	সবাই
কখন	কখন
যে	যে
কেটে	কেটে
পড়েছিল	পড়েছিল
বুঝতেই	বুঝতেই
পারেনি	পারেনি

সেখানে	সেখানে
গিয়ে	গিয়ে
আমাদের	আমাদের
প্রাণ	প্রাণ
যেন	যেন
বিগলিত	বিগলিত

হাতের	হাতের
কব্জিতে	কব্জিতে
জোর	জোর
ছিল	ছিল
অসাধারণ	অসাধারণ

হোটেল	হোটেল
কৃষিজাত	কৃষিজাত
দ্রব্য	দ্রব্য
জলজাত	জলজাত
দ্রব্য	দ্রব্য
ও	ও
খনিজ	খনিজ
দ্রব্যের	দ্রব্যের
ব্যবসায়ে	ব্যবসায়ে
লাভবান	লাভবান
হবার	হবার
সম্ভাবনা	সম্ভাবনা
আছে	আছে

ধরো	ধরো
ওটা	ওটা
পাথর	পাথর
হয়ে	হয়ে
জমে	জমে
থাকার	থাকার
পর	পর
নিচেকার	নিচেকার
ম্যাগমা	ম্যাগমা
আবার	আবার
একবার	একবার
জোরে	জোরে
ঢুঁ	ঢুঁ
মারলো	মারলো

কি	কি
অপূর্ব	অপূর্ব
কি	কি
মিষ্টি	মিষ্টি
সেই	সেই
সুর	সুর

কিন্তু	কিন্তু
তার	তার
পরিবর্তে	পরিবর্তে
বগলাবাবুই	বগলাবাবুই
আমাদের	আমাদের
দেখে	দেখে
জ্ঞান	জ্ঞান
হারালেন	হারালেন

শহরে	শহরে
ঢোকার	ঢোকার
মুখে	মুখে
এক	এক
বাড়ির	বাড়ির
গায়ে	গায়ে
ঝুলন্ত	ঝুলন্ত
একটি	একটি
সাইনবোর্ড	সাইনবোর্ড
দেখতে	দেখতে
পেয়ে	পেয়ে
থমকে	থমকে
দাঁড়িয়ে	দাঁড়িয়ে
পড়লেন	পড়লেন

ন্যায়মত	ন্যায়মত
প্রাভাকর	প্রাভাকর
এবং	এবং
বৌদ্ধদের	বৌদ্ধদের
আতিশয্য	আতিশয্য
পরিহার	পরিহার
করে	করে
ভাব	ভাব
ও	ও
অভাব	অভাব
উভয়কেই	উভয়কেই
পদার্থ	পদার্থ
বলেছেন	বলেছেন

কিন্তু	কিন্তু
দুঃখের	দুঃখের
বিষয়	বিষয়
আজকের	আজকের
লেখাপড়া	লেখাপড়া
জানা	জানা
মেয়েরা	মেয়েরা
ভাবতেই	ভাবতেই
পারে	পারে
না	না
যে	যে
রান্না	রান্না
ও	ও
বিদ্যা	বিদ্যা
শিক্ষার	শিক্ষার
মত	মত
একটি	একটি
শিক্ষণীয়	শিক্ষণীয়
বিষয়	বিষয়

শীলা	শীলা
সেন	সেন
তার	তার
টান-টান	টান-টান
খোলা	খোলা
চুলের	চুলের
রাশটাতে	রাশটাতে
সামান্য	সামান্য
ঢেউ	ঢেউ
তুলে	তুলে
বললেন	বললেন
আমি	আমি
অন্যরকম	অন্যরকম

এছাড়াও	এছাড়াও
সঙ্গে	সঙ্গে
নেবার	নেবার
একটি	একটি
করে	করে
সাইডব্যাগ	সাইডব্যাগ

প্রথম	প্রথম
বিশ্বযুদ্ধের	বিশ্বযুদ্ধের
পরে	পরে
রাশিয়ায়	রাশিয়ায়
মহান	মহান
অক্টোবর	অক্টোবর
সমাজতান্ত্রিক	সমাজতান্ত্রিক
বিপ্লবের	বিপ্লবের
সাফল্য	সাফল্য
জাতীয়	জাতীয়
মুক্তি	মুক্তি
আন্দোলনে	আন্দোলনে
নবদিগন্ত	নবদিগন্ত
সূচনা	সূচনা
করে	করে

সেখানে	সেখানে
