রপ্তানি	﻿রপ্তান
প্রথম	প্রথম
পদক্ষেপ	পদক্ষেপ
বলা	বলা
যায়	যায়
না	না

তার	তার
সামাজিক	সামাজা
কারণ	কারণ
কি	কি

(গ)	(গ
চুল	চুল

অথবা	অথবা
বৃদ্ধ	বৃদ্ধ
বয়স	বয়স
ব্যতীত	ব্যতীত
পূর্বদেশীয়	পূর্বদেশী
জাতির	জাতি
লোকদের	লোক
চুল	চুল
কালো	কালো
হয়	হয়

কোম্পানির	কোম্পানি
এক	এক
কর্মচারী	কর্মচার
চার্লস	চার্ল
উইলকিন্স	উইলকিন্
হুগলীতে	হুগল
পঞ্চানন	পঞ্চান
কর্মকারকে	কর্মকা
দিয়ে	দেওয়া
বাংলা	বাংল
অক্ষর	অক্ষ
তৈরী	তৈর
করান	করা

ফাঁক	ফাঁ
1টি	1ট
1ম	1
মাত্রার	মাত্রা
ওপর	ওপর
তাল	তা
দুটি	দুই
ও	ও
মাত্রায়	মাত্রা

নান্দনিক	নান্দনি
অনুভবের	অনুভ
এই	এই
আপেক্ষিকতার	আপেক্ষিকতা
ব্যাপারটি	ব্যাপারট
খুব	খুব
সাধারণ	সাধারণ
কিন্তু	কিন্তু
যা	যা
ঠিক	ঠিক
সাধারণ	সাধারণ
নয়	না
তা	তা
হল	হওয়া
এই	এই
অনুভবকে	অনুভবক
বিচার	বিচার
করতে	করা
গেলে	ড়া
স্বীকার	স্বীকার
করতে	করা
হবে	হওয়া
যে	যে
-বিচারের	-বিচা
ভিত্তিতে	ভিত্তি
এমন	এমন
কিছু	কিছু
আছে	আছে
যা	যা
বিচার্যের	বিচার্
তুলনায়	তুলনা
স্থির	স্থির
স্থায়ী	স্থায়ী

উত্পাদিকা	উত্পাদিক
শক্তিগুলোর	শক্তিগুলো
প্রভূত	প্রভূ
উন্নতি	উন্নত
হলে	হওয়া
ও	ও
শ্রমবিভাগ	শ্রমবিভা
সর্বজনীন	সর্বজনী
ও	ও
সর্বাঙ্গীন	সর্বাঙ্গী
হয়ে	হয়ে
উঠলে	উঠল
এবং	এবং
তার	তার
ফলে	ফল
যখন	যখন
সর্বব্যাপী	সর্বব্যাপ
অর্থনৈতিক	সথনৈতি
বিনিময়	বিনিম
হতে	হতে
থাকে	থাকা
একমাত্র	একমাত্র
তখনই	তখন
এই	এই
ধরনের	ধরন
একটা	এক
জীবনের	জীবন
প্রয়োজন	প্রয়োজন
সম্ভবপর	সম্ভবপ
হয়ে	হয়ে
ওঠে	ওঠা

ভাষাকে	ভাষাক
যতই	যত
ভালোবাসি	ভালোবাসা
শুধু	শুধু
অলীক	অলীক
স্বপ্ন	স্বপ্ন
দিয়েই	দিওয়া
ভাষা	ভাষা
সমস্যার	সমস্যা
সমাধান	সমাধান
হবে	হওয়া
না	না

পিকোর	পিকো
হাতেও	হা
সীট	সী
আঁকড়ানো	আঁকড়ান
কিন্তু	কিন্তু
আমার	আমি
ক্ষেত্রে	ক্ষেত্র
ঈশ্বরই	ঈশ্বর
একমাত্র	একমাত্র
সাপোর্ট	সাপোর্
কেন	কেন
না	না
পা	পা
রেকাবে	রেকাব
ভরা	ভরা
আছে	আছে
তবু	তবু
রক্ষে	রক্ষ

যে	যে
ঘটনাটা	ঘটনা
বর্ণনা	বর্ণনা
করতে	করা
যাচ্ছি	যাচ্ছ
তাতে	তা
পরিষ্কার	পরিষ্কার
প্রমাণ	প্রমাণ
হয়ে	হয়ে
যাবে	যাওয়া
যে	যে
কংগ্রেস	কংগ্রে
অথবা	অথবা
তেলেগু	তেল
দেশম	দেশ
যে	যে
দলই	দল
ক্ষমতায়	ক্ষমত
আসুক	আসা
সবাই	সবাই
একই	এক
রকম	রকম
আচরণ	আচরণ
করবে	করা

তাহলে	তাহলে

বুশবাক্	বুশবাক
রিজ্	রিজ্
একটা	এক
বিস্তৃত	বিস্তৃত
অঞ্চল	অঞ্চল

যুগ	যুগ
যুগ	যুগ
কাল	কাল
অতীত	অতীত
হয়ে	হয়ে
গেলেও	গোনো
কোনো	কোন
কিছুই	কিছু
এখানে	এখান
জীর্ণ	জীর্ণ
হবে	হওয়া
না	না
শুধু	শুধু
এক	এক
প্রাণীদের	প্রাণী
দেহ	দেহ
ছাড়া	ছাড়

তা	তা
না	না
করলে	করা
পতন	পতন
অবস্থা	অবস্থা
আসে	আসা

সেকালে	সেক
ধর্মস্থানগুলোও	ধর্মস্থানগু
ছিল	থাকা
যেন	যে
অন্যতম	অন্য
আমোদ	আমোদ
প্রমোদ	প্রমোদ
কেন্দ্র	কেন্দ্র

একই	এক
জায়গায়	জায়গা
তারা	তারা
পাশাপাশি	পাশাপাশি
বসবাস	সবাস
করবে	করা
তা	তা
হয়	হয়
না	না

কিন্তু	কিন্তু
চা	চা
শিল্প	শিল্প
এই	এই
সময়	সময়
প্রতিকূল	প্রতিকূল
অবস্থার	অবস্থা
মধ্য	মধ্য
দিয়া	নেওয়া
যাইতেছিল	যাা

আমার	আমি
বিয়ের	বি
সময়	সময়
আসতে	আসা
পারেনি	পারা

এ	এ
ছাড়া	ছাড়
কুরাসওয়া	কুরাসওয়
কতগুলি	কতগুল
ক্লাসিক	ক্লাসি
ছবি	ছবি
করেন	করা

আরেকটা	আরে
কথা	কথা
বলতে	বলা
চাই	চাওয়া

আধ	আ
মাইলটাক	মাইলটা
লম্বা	লম্বা

সাধারণতঃ	সাধারণত
বড়	বড়
মাঝারি	মাঝারি
ও	ও
ছোট	ছোট
এই	এই
তিনটি	তিন
আকারে	আকার
ফলগুলিকে	ফলগুল
বাছিয়া	বাছ
পৃথক	পৃথক
করা	করা
হয়	হয়

বাংলোর	বাংলো
বারান্দায়	বারান্দা
বেতের	বেত
চেয়ারে	চেয়
আমরা	আমি
আরাম	আরাম
করে	করা
বসলুম	বসলু

অত	অ
উপরে	উপর
কী	কী
করতে	করা
উঠেছিলি	উঠেছি

মিঠে	মিঠে
আলু	আলু
আর	আর
কুমড়োর	কুমড়ো
ব্যাপারীদের	ব্যাপারী
মধ্যে	মধ্যে
বসবার	বসবা
জায়গা	জায়গা
নিয়ে	নেওয়া
প্রায়ই	প্রায়
কথার	কথা
টক্কর	টক্ক
হয়	হয়
এক	এক
একদিন	একদিন
আগুন	আগুন
জ্বলে	জ্বলা

দলের	দল
বিরোধী	বিরোধ
কোন	কোন
সমালোচনা	সমালোচন
সদস্যগণ	সদস্যগ
সহজভাবে	সহজভাব
করিতে	করা
ব্যর্থ	ব্যর্থ
হয়	হয়

চালের	চাল
মণ	মণ
দুই	দুই
আড়াই	আড়া
তিন	তিন
টাকা	টাকা

কারো	কার
কাছে	কাছ
যেতে	যা
হবে	হওয়া
না	না

সেই	সেই
সময়ের	সময়
আগে	আগে
আবিষ্কৃত	আবিষ্কৃ
নিকেলকে	নিকে
কিন্তু	কিন্তু
তিনি	তিনি
রাসায়নিক	রাসায়নি
মৌ	ম
ল	
বলে	বলে
মেনে	মাওয়া
নিয়েছিলেন	নিয়েছি

সে	তিনি
পিছন	প
থেকে	থেকে
হরিকে	হর
নিচু	নিচু
গলায়	গলা
বলল	বলা
বল	বল
বৈজ্ঞানিক	বৈজ্ঞানি
ছিলেন	ছিল

বহুদিন	বহুদিন
এর	এ
চূড়ায়	চূড়া
কেউ	কে
উঠতে	উওয়া
পারেনি	পারা

ভারতের	ভারত
মেয়ে	মেয়ে
হকি	হক
দল	দল
সম্পর্কে	সম্পর্ক
এবার	এবার
দু-এক	দু-এ
কথা	কথা
বলা	বলা
যাক	যাওয়া

কেন	কেন
পূর্ব	পূর্ব
পাকিস্তান	পাকিস্তান
পশ্চিম	পশ্চি
হইতে	হওয়া
বিচ্ছিন্ন	বিচ্ছিন্ন
হইয়া	হওয়া
বাংলাদেশ-এ	বাংলাদে
পরিণত	পরিণত

তখন	তখন
শচীনদেব	শচীনদে
বর্মণের	বর্ম
ভাটিয়ালি	ভাটিয়
গানের	গান
খুব	খুব
কদর	কদর

মিউজিক	মিউজিক
কম্পোজ	কম্পোজ
ও	ও
গ্রাম্য	গ্রাম্
নাচ-গান-গল্পের	নাচ-গান-গল্
আসর	আসর
সুন্দরভাবে	সুন্দরভাব
ফুটে	ফুট
উঠেছে	উেওয়া

অথচ	অথচ
ভাবলে	ভাবল
কত	কত
কী	কী
কাণ্ড	কাণ্ড

বিশেষ	বিশেষ
করে	করা
যুবা	যুবাই
বয়সে	বয়স
নেহরু	নেহরু
এবং	এবং
সাম্যবাদের	সাম্যবা
জোয়ারে	জোয়
ভেসে	ভানো
গিয়েছিল	গিয়ো
এবং	এবং
অবশ্যই	অবশ্য
এর	এ
জন্য	জন্য
দায়ী	দায়
কে	কে
এ	এ
আব্বাস	আব্বাস

পৃথিবীতে	পৃথিবী
আপনার	আপনি
জন্য	জন্য
তিনি	তিনি
একটি	এক
কাজ	কাজ
নির্দিষ্ট	নির্দিষ্ট
করে	করা
রেখেছেন	রেখে
এবং	এবং
স্বর্গে	স্বর্গ
প্রস্তুত	প্রস্তুত
রেখেছেন	রেখে
একটি	এক
সুরম্য	সুরম্য
বাসস্থান	বাসস্থা

শেষ	শেষ
দিনের	দিন
প্র্যাকটিসের	প্র্যাকটি
বদলে	বদল
ছিল	থাকা
একটি	এক
ম্যাচ	ম্যাচ

তার	তার
আগেই	আগ
তিনি	তিনি
বাংলায়	বাংলা
প্রবন্ধ	প্রবন্ধ
লিখতে	লি
শুরু	শুরু
করে	করা
ছিলেন	ছিল

হ্যাঁ	হ্যাঁ
সেদিক	সেদি
থেকে	থেকে
এটা	এই
আমার	আমি
পাঞ্জাবের	পাঞ্জা
মাটির	মাটি
তলায়	তল
অভিযান	অভিযান

আসনটি	আসনট
দখলে	দ
রাখতে	রাখা
হলে	হওয়া
তো	তো
আর	আর
থেমে	থ
থাকলে	থাকা
চলবে	চলা
না	না

আসল	আসল
খাঁটি	খাঁটি
আর	আর
রসে	রস
ভরা	ভরা

আর	আর
কিছু	কিছু
না	না
পেরে	পানো
শেষে	শেষ
ঈর্ষা	ঈর্ষা
আর	আর
ব্যর্থতার	ব্যর্থতা
জ্বালায়	জ্বালা
পাগল	পাগ
হয়ে	হয়ে
সে	তিনি
প্রতিদ্বন্দ্বীকে	প্রতিদ্বন্দ্বীক
সরিয়ে	সরানো
দিতে	দেওয়া
পারে	পারা

সামান্য	সামান্য
কয়েকটা	কয়েক
টাকার	টাকা
জন্য	জন্য
পোড়া	পোড়া
পেটের	পে
জন্য	জন্য
এমনি	এমন
করে	করা
বংশ	বংশ
মর্য্যাদা	মর্য্যাদ
বিসর্জন	বিসর্জন
দিতে	দেওয়া
হবে	হওয়া

জানি	জানা
না	না
ক্লোরোমাইসেটিনের	ক্লোরোমাইসেটিন
যথেচ্ছ	যথেচ্
প্রয়োগ	প্রয়োগ
গুরুতর	গুরুতর
বিপদ	বিপদ
ডেকে	ডেকড়া
আনতে	আনত
পারে	পারা

গৌরী	গৌরী
দে	দনো

গ্রামের	গ্রাম
বিদ্যালয়ে	বিদ্যা
চতুর্থ	চতুর্থ
শ্রেণীতে	শ্রেণ
পাঠরত	পাঠর
একটি	এক
ছাত্রের	ছাত্র
প্রাথমিক	প্রাথ
স্তরের	স্ত
পর	পর
অষ্টম	অষ্ট
শ্রেণী	শ্রেণী
পর্যন্ত	পর্যন্ত
লেখা	লেখা
পড়া	পড়া
চালিয়ে	চালানো
যাবার	যাওয়া
সম্ভাব্যতা	সম্ভাব্যত
হল	হওয়া

গ্র্যাজুয়েটরা	গ্র্যাজুয়ে
ইংরিজি	ইংরিজ
শর্টহ্যাণ্ডে	শর্টহ্যাণ্ড
মিনিটে	মিন
120টি	120ট
শব্দ	শব্দ
ও	ও
টাইপিংয়ে	টাইপিংয়
মিনিটে	মিন
40টি	40ট
শব্দ	শব্দ
তোলার	তোলা
গতি	গতি
থাকলে	থাকা
সিনিয়র	সিন
স্টেনোগ্রাফার	স্টেনোগ্রাফা
পদের	পদ
জন্য	জন্য
আবেদন	আবেদন
করতে	করা
পারেন	পারা

মনে	মন
হচ্ছে	হওয়া
পুলিশ	পুলিশ
ওয়াচ	ওয়াচ
রেখেছে	রা

বাজাজ	বাজা
সেবাশ্রম	সেবাশ্র
পরিবেশিত	পরিবে
এই	এই
ক্যাসেটটি	ক্যাসে
অন্যান্যগুলির	অন্যান্যগু
চাইতে	চা
বেশী	বেশ
জনপ্রিয়তা	জনপ্রিয়
অর্জন	অর্জন
করেছে	করা

ভারতে	ভারত
রুশ	রু
উত্সব	উত্স
উপলক্ষে	উপলক্ষ
ভস্তকের	ভস্ত
বিশেষ	বিশেষ
নিবেদন	নিবেদ

রাস্তা	রাস্তা
হয়েছে	হওয়া
বিজলি	বিজল
বা	বা
হয়েছে	হওয়া
রেডিও	রেডিও
শুনছ	শুন
সিনেমা	সিন
দেখছ	দেখা

মাথার	মাথা
চুল	চুল
এলোমেলোভাবে	এলোমেলোভ
ছড়ানো	ছড়ান

বাজারে	বাজার
ভারসাম্য	ভারসাম্
অবস্থায়	অবস্থা
প্রত্যেক	প্রত্যেক
যন্ত্রের	যন্ত্র
নিজ	নি
নিয়োগ-মূল্যের	নিয়োগ-মূল্
হার	হার
আছে	আছে
যা	যা
যে	যে
সমস্ত	সমস্ত
বিশেষ	বিশেষ
পণ্যের	পণ্যে
উত্পাদনে	উত্পাদন
এই	এই
যন্ত্রের	যন্ত্র
সহায়তা	সহায়ত
লাগে	লাগা
সেগুলিরই	সেগুল
চাহিদা	চাহিদা
অনুযায়ী	অনুযায়ী
নিরূপিত	নিরূপি
হয়	হয়

হিসেবে	হিসা
তো	তো
তাই	তা
দেখছি	দে

ছেলেটির	ছেলে
মা	মা
তখন	তখন
কান্নায়	কান্না
ভেঙে	ুমি
পড়ে	পড়
বললেন	বলা
আমি	আমি
এক	এক
গবীর	গবী
ব্রাহ্মণের	ব্রাহ্ম
স্ত্রী	স্ত্রী

শুধু	শুধু
বললেই	বলা
হবে	হওয়া
কোন	কোন
কোন	কোন
রঙের	রঙ
কার্ডে	কার্ড
আপনার	আপনি
সংখ্যাটা	সংখ্যাট
আছে	আছে

সত্যিই	সত্য
কি	কি
তাঁর	তিনি
দেখা	দেখা
পাওয়া	পাওয়া
যাবে	যাওয়া

এই	এই
মতবাদ	মতবা
অনুসারে	অনুসার
যাবতীয়	যাবতীয়
ধারণা	ধারণা
ও	ও
জ্ঞান	জ্ঞান
অভিজ্ঞতালব্ধ	অভিজ্ঞতালব্

কিছুক্ষণ	কিছুক্ষণ
অপেক্ষা	অপেক্ষা
করার	করা
পর	পর
দেখতাম	দেখতা
স্থির	স্থির
জলের	জল
স্বল্প	স্বল্প
স্বচ্ছ	স্বচ্ছ
নিচে	নিচ
কাঁকড়ার	কাঁকড়া
দশ	দশ
পায়ে	পা
সেই	সেই
মাংসপিণ্ডের	মাংসপিণ্
দিকে	দিক
অগ্রসর	অগ্রসর
হওয়া	হওয়া

(ঙ)	(ঙ
বিভক্তির	বিভক্তি
বদলে	বদল
ব্যবহৃত	ব্যবহৃ
কতকগুলি	কতকগ
অনুসর্গেও	অনুসর্
সাধুভাষা	সাধুভাষ
ও	ও
চলিত	চলি
ভাষার	ভাষা
মধ্যে	মধ্যে
পার্থক্য	পার্থক্য
রয়েছে	রওয়া

মেঘে	ম
ঢাকা	ঢাকা
তারা	তারা
'-র	'-
কঠোর	কঠোর
পরিশ্রমী	পরিশ্রম
চাকুরে	চাকুর
মেয়েটির	মেয়ে
কথাই	কথা
ধরা	ধরা
যাক	যাওয়া

আমার	আমি
কলকাতা	কলকাতা
সুনীল	সুনী
গঙ্গোপাধ্যায়	গঙ্গোপাধ্যায়

য়্যাকোয়াগার্ডের	য়্যাকোয়াগার্
কল্যাণে	কল্যাণ
সুইচ	সুই
চালাবার	চালাবা
পর	পর
কল	কল
খুললেই	খুল
আপনি	আপনি
পেয়ে	পা
যান	যাওয়া
পুরোপুরি	পুরোপ
পরিষ্কার	পরিষ্কার
পুরোপুরি	পুরো
নিরাপদ	নিরাপ
পানীয়	পানীয়
জল	জল
খালি	খালি
সুইচটি	সুইচট
টেপার	টেপা
ওয়াস্তা	ওয়াস্ত
সে	তিনি
আপনার	আপনি
কলের	ক
জল	জল
যতই	যত
জীবাণু-কিলবিলে	জীবাণু-কিলব
হোক	হওয়া
না	না
কেন	কেন

আর	আর
তোমার	তুমি
দুই	দুই
বোন	বোন
চুপচাপ	চুপচাপ
বাড়িতে	বাড়
বসে	বসা
অপেক্ষা	অপেক্ষা
করছে	করা
কবে	কবে
তোমার	তুমি
বাবা	বাবা
খবরের	খবর
কাগজের	কাগজ
বক্স	বক্স
নম্বর	নম্বর
থেকে	থেকে
কোনো	কোন
আশাপ্রদ	আশাপ্র
উত্তর	উত্তর
পাবেন	পাওয়া

রাস্তার	রাস্তা
ওপারেই	ওপা
চায়ের	চা
দোকান	দোকান

সে	তিনি
প্রমাণ	প্রমাণ
কিছুই	কিছু
প্রমাণ	প্রমাণ
করেনি	কর
এ	এ
কথা	কথা
সত্য	সত্য
নয়	না
আসন্ন	আসন্ন

সত্য	সত্য
মাত্র	মাত্র

মৃত্যুর	মৃত্যু
দুবছর	দু
পরে	পর
সেটি	সেই
বসানো	বসানো
হয়েছিল	হওয়া

দ্বারকানাথ	দ্বারকানা
তখন	তখন
পশ্চিম-ভারত	পশ্চিম-ভার
সফরে	সফর
রত	রত

ব্যাখ্যা	ব্যাখ্য
নিম্নলিখিত	নিম্নলি
ব্যক্তিগণ	ব্যক্তিগ
হিন্দু	হিন্দু
বৌদ্ধ	বৌদ্ধ
জৈন	জৈন
বা	বা
স্থলবিশেষে	স্থলবিশ
শিখাধর্মাবলম্বী	শিখাধর্মাবলম্ব
গণ্য	গণ্য
হইবেন	হইবে
নিম্নলিখিত	নিম্নলি
ব্যক্তিগণ	ব্যক্তিগ
হিন্দু	হিন্দু
বৌদ্ধ	বৌদ্ধ
জৈন	জৈন
বা	বা
স্থলবিশেষে	স্থলবিশ
শিখধর্মাবলম্বী	শিখধর্মাবলম্ব
গণ্য	গণ্য
হইবেন	হই
:-	:
(ক)	(ক
যে	যে
কোন	কোন
বৈধ	বৈধ
বা	বা
অবৈধ	অবৈ
শিশু	শিশু
যাহার	যাহা
পিতা	পিত
ও	ও
মাতা	মাত
উভয়েই	উভয়
হিন্দু	হিন্দু
বৌদ্ধ	বৌদ্ধ
জৈন	জৈন
বা	বা
শিখধর্মাবলম্বী	শিখধর্মাবলম্ব
সেই	সেই
শিশু	শিশু
(খ)	(খ)
যে	যে
কোন	কোন
বৈধ	বৈধ
বা	বা
অবৈধ	অবৈ
শিশু	শিশু
যাহার	যাহা
পিতামাতার	পিতামাতা
মধ্যে	মধ্যে
কেহ	তিনি
হিন্দু	হিন্দু
বৌদ্ধ	বৌদ্ধ
জৈন	জৈন
বা	বা
শিখধর্মাবলম্বী	শিখধর্মাবলম্ব
এবং	এবং
যে	যে
শিশু	শিশু
ঐরূপ	ঐরূ
পিতা	পিত
বা	বা
মাতা	মাত
যে	যে
জনজাতি	জনজাতি
সম্প্রদায়	সম্প্রদা
দল	দল
বা	বা
পরিবারভুক্ত	পরিবারভুক্
আছেন	আছে
বা	বা
ছিলেন	ছিল
সেই	সেই
জনজাতি	জনজাতি
সম্প্রদায়	সম্প্রদা
দল	দল
বা	বা
পরিবারভুক্ত	পরিবারভুক্
ব্যক্তিরূপে	ব্যক্তিরূপ
লালিতপালিত	লালিতপা
হইয়াছে	হইওয়া
সেরূপ	সেরূপ
শিশু	শিশু
এবং	এবং
(গ)	(গ)
অন্য	অন্য
ধর্ম	ধর্ম
হইতে	হওয়া
হিন্দু	হিন্দু
বৌদ্ধ	বৌদ্ধ
জৈন	জৈন
বা	বা
শিখধর্ম	শিখধর্
ধর্মান্তরিত	ধর্মান্ত
বা	বা
পুনধর্মান্তরিত	পুনধর্মান্তরি
যেকোন	যেকো
ব্যক্তি	ব্যক্তি

এক	এক
দলা	দল
থুতু	থুত
লোকটার	লোকটা
শরীরে	শরীর
মাখামাখি	মাখামাখ
হতেই	হওয়া
প্রথমে	প্রথম
হতভম্ব	হতভম্ব
হয়ে	হয়ে
হাত	হাত
ছাড়লো	ছাড়ল
লোকটা	লোক

বাঙালীর	বাঙালী
আপন	আপন
মেয়ে	মেয়ে

আর	আর
নিজের	নিজ
ইচ্ছেডার	ইচ্ছে
কথাও	কথা
বলো	বলা

বিয়ের	বি
পর	পর
পরম	পরম
সুখে	সুখ
রাজা-রানীর	রাজা-রানী
দিন	দিন
কাটতে	কা
লাগল	লাগা

রাখালের	রাখাল
বাড়িতে	বাড়
বিষ্ণু	বিষ্ণু
ও	ও
সজনী	সজনী
পরস্পরের	পরস্প
সাথে	সাথ
কথা	কথা
বলে	বলে
না	না

সেই	সেই
সোনার	সোনা
পুরী	পুর
নাকি	নাকি
মণি-মাণিক্য	মণি-মাণিক্
ভর্তি	ভর্ত
সেখানে	সেখান
কারো	কার
কোনো	কোন
অভাব	অভাব
নেই	না

এই	এই
তো	তো
তার	তার
কপাল	কপাল
তার	তার
ভগবানের	ভগবান
বিধান	বিধান

তাদের	তািনি
দেহ	দেহ
বলিষ্ঠ	বলিষ্ঠ
উচ্চতা	উচ্চত
মাঝারি	মাঝারি
মুখ	মুখ
লম্বাটে	লম্ব
ও	ও
ডিম্বাকৃতি	ডিম্বাকৃত

রতন	রত
গাড়ি	গাড়
থেমে	থ
যাবে	যাওয়া
নাকি	নাকি

একের	এ
পর	পর
এক	এক
ছবি	ছবি
করে	করা
যেতে	িনি
লাগলেন	লাগ
দাগ	দাগ
তপস্যা	তপস্য
তৃষ্ণা	তৃষ্ণ
কভী	কভ
কভী	কভ
দুসরা	দুসর
আদমী	আদম
হামদম	হামদম
বসেরা	বস

বাঙ্কে	বাঙ্ক
ওঠা	ওঠা
আমি	আমি
একদম	একদ
পছন্দ	পছন্দ
করি	করা
না	না
খালি	খালি
মনে	মন
হয়	হয়
কখন	কখন
ছিটকে	ছি
পড়ে	পড়
যাব	যাওয়া
আর	আর
টোনদা	টোনদ
কিনা	কিনা
আমাকেই	আমা
আমি	আমি
বললাম	বললা
কক্ষনো	কক্ষনো
না	না
বাঙ্কে	বাঙ্ক
শুতে	শুত
আমি	আমি
মোটেই	মোট
ভালোবাসি	ভালোবাসা
না	না

বাউলের	বাউ
গানে	গান
সেই	সেই
ঈশ্বরের	ঈশ্ব
জন্য	জন্য
ব্যাকুলতা	ব্যাকুলত
যে	যে
ঈশ্বরকে	ঈশ্বরক
তারা	তারা
বলত	বলা
মনের	মন
মানুষ	মানুষ

উপমা	উপম
বাদ	বাদ
দিলে	দেওয়া

ছোট	ছোট
ভাই	ভাই
জীবিকানির্বাহ	জীবিকানির্বা
করবার	করা
জন্য	জন্য
একটি	এক
ব্যবসা	ব্যবসা
আরম্ভ	আরম্ভ
করল	কর
এবং	এবং
কালক্রমে	কালক্রমে
সে	তিনি
বিরাট	বিরা
ধনীলোক	ধনীলো
হল	হওয়া
এখানে	এখান
ফলটি	ফলট
ভাল	ভাল
বলে	বলে
আমরা	আমি
জ্যেষ্ঠভ্রাতার	জ্যেষ্ঠভ্রাতা
কাজটিকে	কাজট
কিছুতেই	কিছু
ভাল	ভাল
বলতে	বলা
পারি	পারা
না	না

যদি	যদি
ডিসমিস	ডিসমি
না	না
হয়	হয়
তবে	তবে
ডিক্রি	ডিক্র

গল্পটি	গল্পট
বলার	বলা
আগে	আগে
দুটি	দুই
তথ্য	তথ্য
উল্লেখযোগ্য	উল্লেখযোগ্
তখন	তখন
চীন-জাপান	চীন-জাপা
যুদ্ধ	যুদ্ধ
হচ্ছে	হওয়া
চীনের	চী
তুলনায়	তুলনা
জাপানের	জাপান
জনসংখ্যা	জনসংখ্যা
নগণ্য	নগণ্য

আমার	আমি
চেয়ে	চেয়ে
দু'বছরের	দু'বছ
জুনিয়ার	জুনি

মাথার	মাথা
উপর	উপর
বাল্ব	বাল্ব
জ্বলছিল	জ্বল

গঙ্গা-নদীপথে	গঙ্গা-নদীপথ
যেতে	া
আসতে	আসা
কতো	কতো
দিন	দিন
লাগে	লাগা

পরনে	পরন
তার	তার
সেকেলে	সেক
ধরনের	ধরন
পোষাক	পোষাক

শেষ	শেষ
সপ্তাহে	সপ্তাহ
কর্মক্ষেত্রে	কর্মক্ষেত
শুভফল	শুভফল
ও	ও
সৃজনমূলক	সৃজনমূল
কর্মে	কর্ম
সাফল্যলাভ	সাফল্যলা
সম্ভব	সম্ভব
হবে	হওয়া

লেণ্ডেলের	লেণ্ডেল
কাছ	কাছ
থেকে	থেকে
তিনি	তিনি
স্বীকৃতি	স্বীকৃত
কেড়ে	ক
নিয়েছিলেন	নিয়েছি

ওরা	ও
যে	যে
লাঠি	লাঠি
গুলিকে	গুল
অগ্রাহ্য	অগ্রাহ্য
করে	করা
মরনপণ	মরনপ
লড়াই	লড়া
করে	করা
চলেছে	চলা

এই	এই
বয়সের	বয়স
ছেলে	ছেলে
এতটা	এত
উদাসীন	উদাসীন

1982-83তে	1982-8
ব্যয়ের	ব্য
পরিমাণ	পরিমাণ
বেড়ে	ব
দাঁড়ায়	দাঁড়া
কোটি	কোটি
লক্ষ	লক্ষ
টাকা	টাকা

পাঁচ	পাঁচ
বছরের	বছর
ব্যবধানে	ব্যবধান
বিভিন্ন	বিভিন্ন
অঞ্চলের	অঞ্চল
বিদ্যুত্	বিদ্যুত
পরিস্থিতির	পরিস্থিতি
চেহারায়ও	চেহার
বদল	বদল
ঘটেছে	ঘটা

সাহেব	সাহে
বিবি	বিব
গোলাম	গোলা
সম্পর্কে	সম্পর্ক
এই	এই
রকম	রকম
একটা	এক
ঘটনা	ঘটনা
আছে	আছে

চিতাটার	চিতাটা
পরমায়ু	পরমায়
আছে	আছে
বলতে	বলা
হবে	হওয়া

তার	তার
পরিপ্রেক্ষিতে	পরিপ্রেক্ষ
নিখিলবাবু	নিখিলবাব
স্পষ্টভাবেই	স্পষ্টভা
অপ্রিয়	অপ্রি
সত্য	সত্য
কথাটা	কথা
বলে	বলে
ফেললেন	ফেল
আমরা	আমি
ফুটবলকে	ফুটব
অনেক	অনেক
ক্ষেত্রেই	ক্ষেত্র
ভুল	ভুল
পথে	পথ
চালিত	চা
করি	করা

হজমশক্তি	হজমশক্ত
বৃদ্ধি	বৃদ্ধি
হয়	হয়
এবং	এবং
মেরুদণ্ড	মেরুদণ্ড
নমনীয়	নমনী
করে	করা

মিছিলে	মিছ
মিছিলে	মিছ
এদিন	এদি
শহরের	শহর
গতি	গতি
মাঝে	মাঝে
মাঝেই	মা
রুদ্ধ	রুদ্ধ
হয়ে	হয়ে
পড়ে	পড়
ট্র্যাফিকের	ট্র্যাফি
জটিলতা	জটিলত
আরও	আর
বাড়ে	বাড়
সন্ধে	সন্ধ
নাগাদ	নাগাদ
সভা	সভা
ভাঙার	ভাঙা
পর	পর

দুইটি	দুই
বৃত্তের	বৃত্
দুইটি	দুই
গবিনী	গবিন
বৃক্কের	বৃক্
পশ্চাত্	পশ্চাত
অংশে	অংশ
আসিয়া	আসা
একত্রে	একত্র
যুক্ত	যুক্ত
হয়	হয়
এবং	এবং
একটি	এক
এজমালী	এজমাল
গবিনী	গবিন
সৃষ্টি	সৃষ্টি
করিয়া	করা
উহা	উহ
মূত্রস্থলীতে	মূত্রস্থল
মুক্ত	মুক্ত
হয়	হয়

সরলা	সরল
তখন	তখন
আর	আর
বাংলার	বাংলা
প্রত্যক্ষ	প্রত্যক্ষ
রাজনীতিতে	রাজনীত
নেই	না

এবং	এবং
জুন	জুন
প্রথম	প্রথম
বার্ষিক	বার্ষি
